SKU,Producto,Marca_o_Detalle,Precio_Normal,Precio_Cyber,Descuento,Enlace_Imagen,Estado_WooCommerce
3599237,COMODA PRIMORDIAL CINAMOMO,47.98,$100.800,$80.640,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/15.jpg,Encontrado
3599662,COMODA PRIMORDIAL BLANCA,47.98,$100.800,$80.640,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/13.jpg,Encontrado
3599712,COMODA VERSATIL CINAMONO AREIA,91.47,$188.150,$150.520,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/07/33.jpg,Encontrado
3599269,COMODA VERSATIL JACARANDA OFF WHITE,91.47,$188.150,$150.520,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/07/35.jpg,Encontrado
3599494,COMODA VERSATIL  BLANCA,91.47,$188.150,$150.520,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3599494.jpg,Encontrado
3599727,COMODA IMPERIAL JACARANDA,91.56,$192.900,$154.320,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2026/05/comoda_zapatera_jacaranda.jpg,Encontrado
3599728,COMODA IMPERIAL BLANCA,91.56,$192.900,$154.320,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2026/05/comoda_zapatera_blanca.jpg,Encontrado
3599729,COMODA IMPERIAL CINAMOMO AREIA,91.56,$192.900,$154.320,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2026/05/comoda_zapatera_areia.jpg,Encontrado
3599530,ROPERO FRANCA BLANCO,61.29,$126.100,$100.880,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/07/37.jpg,Encontrado
3599213,ROPERO PRIMORDIAL BLANCO,83.16,$179.900,$143.920,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/08/29.jpg,Encontrado
3599320,ROPERO PRIMORDIAL CINAMOMO AREIA,83.16,$179.900,$143.920,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/08/28-1.jpg,Encontrado
3599319,ROPERO PRIMORDIAL JACARANDA,83.16,$179.900,$143.920,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/08/30.jpg,Encontrado
3599003,ROPERO CAPELINHA JACARANDA,117.34,$241.350,$193.080,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3599003.jpg,Encontrado
3599002,ROPERO CAPELINHA BLANCO,117.34,$241.350,$193.080,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/07/1.jpg,Encontrado
3599711,ROPERO CAPELINHA CINAMOMO AREIA,117.34,$241.350,$193.080,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/07/26.jpg,Encontrado
3599718,M. COCINA AEREO 1 PUERTA,18.71,$39.900,$31.920,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/07/6.jpg,Encontrado
3599608,M. COCINA AEREO 2 PUERTAS,39.380000000000003,$84.550,$67.640,-20%,,No creado en WooCommerce
3599403,M. COCINA AEREO VIDRIADO,68.11,$143.100,$114.480,-20%,,No creado en WooCommerce
3599720,M. COCINA MESADA 1.20,60.1,$131.900,$105.520,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/07/3.jpg,Encontrado
3599544,M. COCINA MESADA 1 PUERTA,29.06,$62.100,$49.680,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/09820100_280-scaled.jpg,Encontrado
